Page                     Page Rank                No. of Outlinks          No. of Inlinks           
WT25-B31-56              0.000317317062332689     73                       72                       
WT26-B22-336             0.00031722928893723783   9                        164                      
WT23-B18-180             0.00031711111586224636   44                       74                       
WT26-B25-679             0.0003158325140756519    2                        80                       
WT04-B33-221             0.000315564952399966     17                       81                       
WT04-B38-204             0.00031531599903683686   11                       281                      
WT25-B19-180             0.0003139405463871978    8                        8                        
WT17-B29-66              0.000311500131546503     5                        175                      
WT17-B29-69              0.000311500131546503     5                        175                      
WT17-B29-70              0.000311500131546503     5                        175                      
WT27-B19-302             0.0003113234708198986    9                        213                      
WT17-B29-67              0.00031107061811194855   7                        172                      
WT17-B29-68              0.0003105142866123613    5                        172                      
WT09-B28-263             0.0003097964295685416    0                        258                      
WT24-B11-329             0.0003094007670239608    52                       53                       
WT07-B14-20              0.0003015836953093069    64                       64                       
WT05-B09-121             0.000301187569765973     1                        34                       
WT01-B11-115             0.00030115813652444945   10                       73                       
WT08-B02-134             0.00030094517369489457   75                       74                       
WT04-B30-256             0.00029682226503613266   9                        301                      
WT18-B18-148             0.00029488096637148703   11                       165                      
WT13-B30-405             0.0002940264034962376    20                       186                      
WT07-B14-25              0.00029232889907411064   62                       62                       
WT18-B40-82              0.00029108974730365544   0                        576                      
WT12-B40-235             0.0002906770329188534    12                       355                      
WT13-B16-451             0.0002905944840143634    3                        291                      
WT02-B03-141             0.00028633861872025035   53                       54                       
WT08-B24-320             0.00028479076884694286   0                        2                        
WT10-B14-65              0.0002838506209120695    2                        87                       
WT27-B25-363             0.00028273489197271187   1                        37                       
WT15-B34-52              0.00028250776108647996   14                       264                      
WT27-B28-200             0.00028230376384134263   1                        4                        
WT04-B38-159             0.0002813413296843558    36                       254                      
WT18-B38-25              0.0002805159025397678    1                        155                      
WT24-B26-381             0.0002790297839991614    10                       4                        
WT15-B34-57              0.00027747961416258707   6                        264                      
WT19-B34-131             0.00027682300088830407   2                        134                      
WT12-B33-212             0.00027534062660651115   0                        209                      
WT15-B34-56              0.00027403695153647403   4                        264                      
WT01-B01-33              0.0002739745092417808    11                       122                      
WT25-B29-410             0.0002735111343646041    2                        113                      
WT27-B28-171             0.00027336677205108315   26                       3                        
WT24-B02-93              0.0002721005291594102    77                       76                       
WT23-B27-41              0.00027196070234720407   1                        193                      
WT15-B34-58              0.0002711439962152937    4                        263                      
WT13-B34-124             0.00026858690824561974   4                        93                       
WT16-B27-21              0.0002678086844442079    56                       58                       
WT07-B11-415             0.00026612412208360984   55                       55                       
WT02-B16-121             0.0002658536518197068    2                        107                      
WT02-B16-122             0.0002658536518197068    3                        107                      
WT24-B26-382             0.00026554699379492534   5                        3                        
WT10-B39-186             0.0002651907530539172    9                        97                       
WT02-B29-123             0.00026160539352888454   10                       184                      
WT02-B29-124             0.00026160539352888454   5                        184                      
WT02-B29-125             0.00026160539352888454   3                        184                      
WT12-B17-36              0.00026089873163400037   0                        213                      
WT02-B28-19              0.0002600082811280116    10                       183                      
WT02-B28-20              0.0002600082811280116    5                        183                      
WT02-B28-21              0.0002600082811280116    3                        183                      
WT13-B14-26              0.0002596888635985968    10                       137                      
WT13-B25-53              0.00025860459987553705   19                       69                       
WT27-B27-452             0.00025846299578995824   18                       142                      
WT17-B22-102             0.0002579129109373461    1                        19                       
WT27-B04-182             0.00025703338184524807   17                       152                      
WT11-B06-41              0.0002559535681739415    1                        95                       
WT07-B17-219             0.0002521542701008017    4                        79                       
WT04-B38-150             0.00025186182389720364   6                        229                      
WT18-B39-107             0.00024841743168941665   6                        124                      
WT18-B24-215             0.0002471655262118283    9                        77                       
WT14-B20-107             0.000246814023361739     4                        94                       
WT13-B16-438             0.00024626980336778036   10                       198                      
WT27-B04-181             0.00024388941495641695   3                        208                      
WT13-B16-461             0.0002437564538946539    2                        199                      
WT07-B40-402             0.00024329998281124487   1                        52                       
WT12-B24-131             0.00024296106278548054   16                       84                       
WT24-B12-246             0.00024278450273213097   51                       54                       
WT24-B28-186             0.00024241693224552697   34                       154                      
WT24-B13-88              0.00024162008359091344   51                       52                       
WT27-B29-141             0.00024146508689475388   0                        1                        
WT20-B02-231             0.00024050077085425702   11                       107                      
WT18-B38-24              0.00023994543445063308   13                       1                        
WT19-B34-114             0.00023615078416526337   14                       78                       
WT07-B22-386             0.000234843044732835     8                        114                      
WT12-B12-11              0.00023394705543967778   80                       73                       
WT12-B40-254             0.00023265032614042753   17                       334                      
WT07-B14-21              0.00023217272354533118   49                       49                       
WT07-B02-55              0.0002320699280744749    5                        266                      
WT06-B14-159             0.00023205533748579658   1                        27                       
WT02-B15-103             0.00023160991198774422   45                       110                      
WT22-B07-427             0.00023150670428769045   140                      108                      
WT14-B02-106             0.00023122872555869024   10                       89                       
WT04-B35-13              0.0002311660463148883    1                        130                      
WT27-B25-361             0.0002307454159203435    214                      118                      
WT22-B07-425             0.00023055631038312763   2                        144                      
WT08-B09-307             0.0002302845428106566    6                        240                      
WT14-B12-412             0.00022795267424322236   1                        10                       
WT24-B18-75              0.00022724970259112737   7                        91                       
WT05-B15-106             0.0002246156257567693    37                       39                       
WT12-B17-270             0.00022431946747824012   8                        183                      
WT08-B09-311             0.0002238913356189021    187                      232                      
WT13-B31-359             0.0002207779432187973    53                       53                       
WT11-B06-47              0.0002205792386881738    7                        3                        
WT10-B14-91              0.00021899802278811412   1                        88                       
WT01-B01-261             0.00021722329528225872   2                        76                       
WT24-B28-188             0.00021648664217268886   5                        166                      
WT01-B01-252             0.00021617476761205825   9                        76                       
WT02-B28-217             0.00021566204135160021   9                        162                      
WT02-B28-218             0.00021566204135160021   4                        162                      
WT02-B28-219             0.00021566204135160021   6                        162                      
WT02-B28-220             0.00021566204135160021   4                        162                      
WT23-B30-103             0.00021531908945716306   7                        58                       
WT02-B28-264             0.00021507879215557004   9                        163                      
WT02-B28-265             0.00021507879215557004   4                        163                      
WT02-B28-266             0.00021507879215557004   6                        163                      
WT02-B28-267             0.00021507879215557004   4                        163                      
WT23-B30-98              0.00021391896227856242   8                        155                      
WT25-B13-353             0.00021251302218241422   1                        40                       
WT12-B30-421             0.0002125006622378605    12                       109                      
WT26-B22-334             0.00021191945940265709   7                        11                       
WT15-B34-80              0.00021166400954390578   4                        133                      
WT08-B01-1               0.00021050625003785225   1                        3                        
WT14-B25-212             0.0002097351324813341    44                       45                       
WT15-B37-80              0.00020970337525624716   44                       45                       
WT15-B34-82              0.0002091880976732977    4                        132                      
WT24-B23-99              0.00020907037127294124   44                       46                       
WT24-B28-187             0.0002088984467782232    4                        166                      
WT24-B28-189             0.0002088984467782232    4                        166                      
WT10-B35-224             0.00020841864245668815   23                       102                      
WT15-B34-81              0.00020822134691779278   6                        133                      
WT24-B04-120             0.00020632911812027397   7                        86                       
WT18-B36-78              0.00020557907155029561   15                       116                      
WT13-B06-280             0.00020520103323552606   2                        273                      
WT24-B28-190             0.00020496082747574376   4                        155                      
WT23-B30-105             0.00020470556088238788   64                       379                      
WT04-B18-119             0.0002045653850401452    1                        35                       
WT10-B14-735             0.00020418835557450528   0                        2                        
WT08-B31-104             0.0002037773379374316    42                       42                       
WT15-B34-53              0.00020362595375754031   14                       134                      
WT12-B17-255             0.0002025459976684044    23                       194                      
WT23-B18-107             0.00020250003554133156   2                        136                      
WT10-B36-88              0.0002022763355979119    3                        102                      
WT27-B21-1               0.00020115074493324395   44                       45                       
WT25-B13-334             0.00020056567627567258   64                       64                       
WT02-B03-137             0.000200561088389539     17                       138                      
WT23-B20-268             0.0002004955391352445    22                       18                       
WT27-B25-360             0.00019995134169039126   59                       33                       
WT08-B09-310             0.00019956677183376179   0                        233                      
WT17-B12-3               0.00019928008230134188   41                       42                       
WT25-B01-250             0.0001985690148215515    41                       42                       
WT07-B02-9               0.0001962744390274945    18                       254                      
WT27-B07-331             0.0001954279945991009    19                       75                       
WT24-B02-91              0.0001948753190140284    58                       57                       
WT22-B07-426             0.00019285912016108714   36                       38                       
WT14-B13-292             0.00019107425074567393   37                       114                      
WT12-B24-142             0.00019103362527359704   40                       41                       
WT04-B29-34              0.0001891844658885293    15                       98                       
WT24-B09-109             0.0001888640691972297    8                        96                       
WT16-B27-59              0.00018768295661986483   7                        109                      
WT24-B02-98              0.00018692376868601813   56                       55                       
WT03-B24-155             0.00018628644794655262   8                        79                       
WT12-B40-13              0.0001855725291011954    11                       209                      
WT07-B40-281             0.0001852477641069631    7                        45                       
WT25-B13-354             0.0001849459688164774    1                        35                       
WT07-B23-109             0.00018420767100414017   4                        38                       
WT10-B33-180             0.00018201585125303773   7                        75                       
WT03-B23-47              0.00018197981974962278   18                       65                       
WT22-B11-415             0.00018183008507103413   11                       67                       
WT27-B19-54              0.0001812485007621874    5                        138                      
WT23-B33-14              0.00018056838811376268   7                        90                       
WT24-B26-3               0.00018049746090935642   3                        173                      
WT21-B37-71              0.00018022476414164236   23                       560                      
WT23-B14-50              0.00017990799361287284   12                       185                      
WT23-B14-51              0.00017990799361287284   7                        185                      
WT23-B14-53              0.00017990799361287284   8                        185                      
WT23-B14-55              0.00017990799361287284   43                       185                      
WT23-B14-56              0.00017990799361287284   7                        185                      
WT25-B17-39              0.0001791490879572335    40                       126                      
WT18-B26-434             0.00017885633053624334   62                       64                       
WT27-B34-206             0.0001779071368464742    0                        192                      
WT02-B28-270             0.00017695199802230033   6                        126                      
WT02-B28-271             0.00017695199802230033   5                        126                      
WT02-B28-272             0.00017695199802230033   6                        126                      
WT02-B28-273             0.00017695199802230033   4                        126                      
WT23-B14-52              0.0001768495942957923    8                        183                      
WT23-B14-54              0.0001768495942957923    11                       183                      
WT02-B28-216             0.0001766467714628027    6                        125                      
WT02-B28-224             0.0001766467714628027    5                        125                      
WT02-B28-225             0.0001766467714628027    6                        125                      
WT02-B28-226             0.0001766467714628027    4                        125                      
WT07-B14-22              0.00017664394613415012   37                       37                       
WT10-B17-351             0.00017594242653992998   34                       35                       
WT07-B17-239             0.00017586077854783402   12                       37                       
WT13-B27-94              0.00017584514992672007   61                       69                       
WT27-B38-273             0.00017545760529649845   10                       123                      
WT27-B38-275             0.00017545760529649845   5                        123                      
WT17-B34-498             0.00017444404526860028   21                       356                      
WT17-B34-499             0.00017444404526860028   55                       356                      
WT17-B34-500             0.00017444404526860028   52                       356                      
WT17-B34-501             0.00017444404526860028   14                       356                      
WT17-B34-502             0.00017444404526860028   17                       356                      
WT17-B34-503             0.00017444404526860028   35                       356                      
WT17-B34-504             0.00017444404526860028   21                       356                      
WT17-B34-505             0.00017444404526860028   38                       356                      
WT17-B34-506             0.00017444404526860028   22                       356                      
WT17-B34-507             0.00017444404526860028   16                       356                      
WT17-B34-508             0.00017444404526860028   13                       356                      
WT17-B34-509             0.00017444404526860028   13                       356                      
WT22-B14-452             0.000174365129754087     110                      106                      
WT24-B08-146             0.00017427609725253557   13                       159                      
WT23-B14-244             0.00017374382428013527   16                       49                       
WT02-B21-184             0.0001725555160838495    10                       67                       
WT23-B29-120             0.00017250395001848715   20                       68                       
WT12-B40-9               0.00017226142413243034   11                       208                      
WT12-B40-12              0.00017226142413243034   11                       208                      
WT13-B15-101             0.00017204984943137224   9                        106                      
WT07-B02-32              0.00017201527356084295   162                      165                      
WT23-B28-562             0.0001717582705575631    20                       68                       
WT27-B20-291             0.00017157639380070556   9                        36                       
WT02-B23-167             0.00017140724421907513   32                       34                       
WT12-B40-14              0.00017103459413824753   10                       208                      
WT12-B40-3               0.00016955866159768968   9                        208                      
WT01-B12-77              0.00016948846936507814   59                       70                       
WT27-B20-174             0.00016948441731487286   9                        107                      
WT07-B40-166             0.00016864800162401803   4                        75                       
WT07-B40-167             0.00016864800162401803   4                        75                       
WT07-B40-168             0.00016864800162401803   4                        75                       
WT13-B39-334             0.00016836430035135252   146                      145                      
WT13-B39-315             0.00016833973075772152   146                      145                      
WT12-B40-11              0.00016774918496610243   8                        208                      
WT13-B17-278             0.0001675905447063629    10                       219                      
WT18-B38-182             0.00016707460154235103   8                        81                       
WT11-B04-34              0.0001661736482820271    33                       36                       
WT13-B21-124             0.00016594904294817508   8                        65                       
WT07-B19-144             0.0001656366636233889    37                       38                       
WT14-B34-172             0.0001655720311832139    19                       43                       
WT12-B39-315             0.0001655383542292812    8                        97                       
WT10-B40-320             0.0001651958410738358    2                        29                       
WT12-B06-139             0.00016505486831279142   1                        19                       
WT02-B23-166             0.00016354869453180082   13                       85                       
WT27-B21-3               0.00016252374219442325   34                       35                       
WT25-B04-649             0.00016248193143409323   25                       218                      
WT25-B04-650             0.00016205498883934975   7                        217                      
WT25-B05-12              0.0001613515208393248    6                        217                      
WT25-B05-34              0.0001613515208393248    0                        217                      
WT27-B18-381             0.00016062755736079382   11                       90                       
WT08-B33-284             0.00016023260798121364   14                       166                      
WT08-B24-243             0.00016004210754286282   9                        72                       
WT23-B28-180             0.00015996553699486622   6                        45                       
WT06-B38-10              0.00015985229735647092   11                       50                       
WT13-B34-256             0.00015943323260277399   21                       50                       
WT12-B40-10              0.0001588727509131338    14                       168                      
WT18-B18-177             0.0001587828672896985    25                       98                       
WT08-B07-159             0.00015868637302607843   11                       92                       
WT24-B11-274             0.00015817580513459838   196                      197                      
WT18-B39-137             0.00015752279921978156   43                       60                       
WT24-B18-182             0.00015748919580288283   3                        7                        
WT24-B08-147             0.00015629620479295223   11                       146                      
WT23-B30-89              0.0001561087277705163    367                      367                      
WT02-B16-103             0.00015585570067688453   1                        19                       
WT24-B11-54              0.00015569461124719704   8                        209                      
WT25-B13-371             0.00015520584370833402   1                        18                       
WT23-B32-191             0.0001550465345850475    17                       21                       
WT27-B04-169             0.0001549944234232633    54                       141                      
WT24-B40-140             0.00015499283079608282   8                        81                       
WT12-B40-241             0.00015489662393467448   0                        342                      
WT14-B02-403             0.00015429478276789003   32                       33                       
WT24-B17-197             0.00015422412732522762   0                        133                      
WT05-B11-312             0.00015418797376758915   36                       48                       
WT19-B37-2               0.0001536750493268524    100                      110                      
WT19-B36-96              0.0001535383039774335    9                        11                       
WT23-B31-215             0.0001533234120455589    3                        209                      
WT14-B15-37              0.00015331845304309257   10                       96                       
WT04-B27-721             0.00015331736482166518   27                       176                      
WT02-B16-123             0.00015286591382063794   3                        106                      
WT24-B11-231             0.00015284877401119547   7                        198                      
WT09-B34-124             0.0001528165156759048    4                        7                        
WT19-B37-1               0.00015266406469379985   56                       110                      
WT12-B40-17              0.00015204789084967543   8                        201                      
WT10-B36-90              0.00015194214875103055   2                        98                       
WT20-B39-186             0.00015118456877618317   33                       49                       
WT09-B28-83              0.00015100445529781377   24                       146                      
WT22-B09-181             0.00015069117247933748   9                        275                      
WT01-B06-32              0.00015050856330862486   9                        52                       
WT10-B35-237             0.0001501331877722391    14                       97                       
WT07-B40-97              0.0001496480446908066    46                       52                       
WT23-B29-123             0.00014947144822564617   12                       47                       
WT23-B28-576             0.0001489486729096648    12                       47                       
WT11-B15-220             0.0001483561101464095    41                       71                       
WT08-B23-282             0.00014811034984799857   30                       30                       
WT10-B38-105             0.00014773964263103      15                       117                      
WT27-B38-271             0.00014765920303578457   5                        82                       
WT27-B38-272             0.00014765920303578457   10                       82                       
WT11-B02-151             0.0001475471114500713    28                       126                      
WT27-B38-274             0.0001473505698317871    5                        81                       
WT23-B36-273             0.00014623756492075093   2                        26                       
WT10-B38-108             0.0001461877009991763    11                       116                      
WT10-B38-109             0.0001461877009991763    5                        116                      
WT10-B38-110             0.0001461877009991763    5                        116                      
WT21-B35-163             0.00014610082302439432   141                      8                        
WT09-B34-220             0.00014609171131798443   4                        91                       
WT09-B34-229             0.00014609171131798443   3                        91                       
WT04-B22-262             0.00014563225391173282   62                       65                       
WT18-B31-223             0.00014550205167423885   29                       32                       
WT10-B16-675             0.00014542767161734618   1                        124                      
WT09-B33-104             0.00014537733575769644   57                       61                       
WT16-B27-185             0.00014529697826312456   0                        99                       
WT18-B14-70              0.00014499064071156148   37                       43                       
WT06-B31-160             0.0001447123345783083    39                       126                      
WT16-B26-139             0.00014404530460053922   29                       30                       
WT12-B24-140             0.00014372463505111217   26                       27                       
WT24-B01-154             0.00014351941921861313   15                       132                      
WT24-B01-155             0.00014351941921861313   14                       132                      
WT24-B01-156             0.00014351941921861313   8                        132                      
WT24-B08-157             0.00014345589711887492   10                       147                      
WT09-B33-103             0.0001432775190180878    58                       60                       
WT02-B03-142             0.000142928656357649     1                        5                        
WT11-B16-268             0.0001429122353231247    18                       104                      
WT11-B16-269             0.0001429122353231247    13                       104                      
WT11-B16-270             0.0001429122353231247    11                       104                      
WT19-B37-223             0.00014272184604890344   10                       109                      
WT27-B19-473             0.000142293500098402     9                        63                       
WT14-B15-270             0.00014218369330646678   39                       37                       
WT09-B34-230             0.00014109654387400676   22                       90                       
WT04-B38-162             0.0001406798232610685    38                       78                       
WT12-B31-228             0.00014062034902258462   7                        114                      
WT12-B31-239             0.00014062034902258462   7                        114                      
WT12-B31-240             0.00014062034902258462   7                        114                      
WT12-B31-243             0.00014062034902258462   7                        114                      
WT24-B08-158             0.0001404690827512038    10                       138                      
WT12-B31-225             0.00014036418346573853   7                        113                      
WT12-B31-241             0.0001401507121683668    7                        112                      
WT27-B19-320             0.00014004903872430902   64                       143                      
WT12-B31-242             0.00013987753832455914   7                        111                      
WT13-B18-188             0.00013958114701204368   62                       177                      
WT20-B40-44              0.0001395060036751668    1                        17                       
WT10-B32-84              0.0001394723600396617    1                        55                       
WT22-B38-424             0.00013866696843514457   1                        76                       
WT10-B31-580             0.00013811081379177024   13                       101                      
WT10-B31-581             0.00013811081379177024   5                        101                      
WT10-B31-582             0.00013811081379177024   6                        101                      
WT13-B37-273             0.00013803361502137733   12                       65                       
WT27-B08-132             0.00013774327291790628   11                       95                       
WT27-B27-28              0.00013714298950379992   1                        45                       
WT07-B22-391             0.00013677132499050423   20                       29                       
WT22-B09-35              0.00013639032678773653   4                        25                       
WT22-B10-164             0.0001350014610463095    7                        273                      
WT25-B13-303             0.00013483105201566784   1                        28                       
WT16-B25-152             0.00013460045510439397   8                        55                       
WT03-B21-27              0.0001343420268443625    12                       31                       
WT03-B17-89              0.00013428213404691398   19                       55                       
WT21-B36-136             0.00013414571983925982   12                       176                      
WT08-B01-172             0.00013384732572452765   4                        74                       
WT25-B13-355             0.0001337129729648358    1                        29                       
WT25-B13-352             0.00013371297296483578   1                        29                       
WT07-B02-14              0.00013349354636224038   88                       96                       
WT04-B18-199             0.00013334448003190152   1                        5                        
WT25-B11-82              0.0001331023979671379    5                        110                      
WT25-B11-83              0.0001331023979671379    5                        110                      
WT25-B11-84              0.0001331023979671379    11                       110                      
WT25-B11-85              0.0001331023979671379    10                       110                      
WT25-B11-86              0.0001331023979671379    16                       110                      
WT21-B36-137             0.00013286489205502938   13                       175                      
WT21-B36-138             0.00013286489205502938   12                       175                      
WT21-B36-139             0.00013286489205502938   15                       175                      
WT21-B36-140             0.00013286489205502938   15                       175                      
WT21-B36-141             0.00013286489205502938   11                       175                      
WT21-B36-142             0.00013286489205502938   14                       175                      
WT21-B36-143             0.00013286489205502938   8                        175                      
WT08-B26-265             0.00013251874658806254   1                        32                       
WT04-B14-128             0.000132419296710029     11                       35                       
WT18-B14-67              0.00013239922903233398   52                       49                       
WT14-B03-224             0.0001322075674147945    29                       30                       
WT08-B01-106             0.0001320737210031317    11                       61                       
WT22-B13-79              0.00013170874228420867   34                       272                      
WT27-B08-97              0.0001316746957598117    8                        93                       
WT13-B14-28              0.00013101260358893647   20                       38                       
WT24-B02-94              0.00013096298005015554   44                       43                       
WT13-B39-29              0.0001308284396257948    5                        45                       
WT07-B40-170             0.000130691000057114     3                        71                       
WT14-B02-245             0.0001305577085311868    23                       38                       
WT09-B37-199             0.00013054697645001115   25                       41                       
WT10-B38-127             0.00013049108203404592   9                        114                      
WT25-B30-216             0.00013027222925966777   31                       30                       
WT02-B08-193             0.00013015971261415464   23                       50                       
WT25-B05-10              0.00012990527482016346   5                        77                       
